day,shift,shift_time,role,C_min,C_opt,C_max
13,S1,00:00-08:00,BLO,1,1,2
13,S1,00:00-08:00,FSTC,1,1,2
13,S1,00:00-08:00,DS,1,1,2
13,S1,00:00-08:00,SLS,1,1,2
13,S2,08:00-16:00,RS,1,1,2
13,S2,08:00-16:00,DAS,4,6,7
13,S2,08:00-16:00,BLO,1,1,2
13,S2,08:00-16:00,FSTC,1,1,2
13,S2,08:00-16:00,DS,1,1,2
13,S2,08:00-16:00,SLS,1,1,2
13,S3,16:00-24:00,RS,1,1,2
13,S3,16:00-24:00,DAS,5,8,10
13,S3,16:00-24:00,BLO,1,1,2
13,S3,16:00-24:00,FSTC,1,1,2
13,S3,16:00-24:00,DS,1,1,2
13,S3,16:00-24:00,SLS,1,1,2
14,S1,00:00-08:00,RS,1,1,2
14,S1,00:00-08:00,DAS,2,3,4
14,S1,00:00-08:00,BLO,1,1,2
14,S1,00:00-08:00,FSTC,1,1,2
14,S1,00:00-08:00,DS,1,1,2
14,S1,00:00-08:00,SLS,1,1,2
14,S2,08:00-16:00,RS,1,1,2
14,S2,08:00-16:00,DAS,5,8,10
14,S2,08:00-16:00,BLO,1,1,2
14,S2,08:00-16:00,FSTC,1,1,2
14,S2,08:00-16:00,DS,1,1,2
14,S2,08:00-16:00,SLS,1,1,2
14,S3,16:00-24:00,RS,1,1,2
14,S3,16:00-24:00,DAS,5,8,10
14,S3,16:00-24:00,BLO,1,1,2
14,S3,16:00-24:00,FSTC,1,1,2
14,S3,16:00-24:00,DS,1,1,2
14,S3,16:00-24:00,SLS,1,1,2
15,S1,00:00-08:00,RS,1,1,2
15,S1,00:00-08:00,DAS,3,4,5
15,S1,00:00-08:00,BLO,1,1,2
15,S1,00:00-08:00,FSTC,1,1,2
15,S1,00:00-08:00,DS,1,1,2
15,S1,00:00-08:00,SLS,1,1,2
15,S2,08:00-16:00,RS,1,1,2
15,S2,08:00-16:00,DAS,5,8,10
15,S2,08:00-16:00,BLO,1,1,2
15,S2,08:00-16:00,FSTC,1,1,2
15,S2,08:00-16:00,DS,1,1,2
15,S2,08:00-16:00,SLS,1,1,2
15,S3,16:00-24:00,RS,1,1,2
15,S3,16:00-24:00,DAS,4,6,7
15,S3,16:00-24:00,BLO,1,1,2
15,S3,16:00-24:00,FSTC,1,1,2
15,S3,16:00-24:00,DS,1,1,2
15,S3,16:00-24:00,SLS,1,1,2
16,S1,00:00-08:00,RS,1,1,2
16,S1,00:00-08:00,DAS,2,3,4
16,S1,00:00-08:00,BLO,1,1,2
16,S1,00:00-08:00,FSTC,1,1,2
16,S1,00:00-08:00,DS,1,1,2
16,S1,00:00-08:00,SLS,1,1,2
16,S2,08:00-16:00,RS,1,1,2
16,S2,08:00-16:00,DAS,4,6,7
16,S2,08:00-16:00,BLO,1,1,2
16,S2,08:00-16:00,FSTC,1,1,2
16,S2,08:00-16:00,DS,1,1,2
16,S2,08:00-16:00,SLS,1,1,2
16,S3,16:00-24:00,RS,1,1,2
16,S3,16:00-24:00,DAS,5,8,10
16,S3,16:00-24:00,BLO,1,1,2
16,S3,16:00-24:00,FSTC,1,1,2
16,S3,16:00-24:00,DS,1,1,2
16,S3,16:00-24:00,SLS,1,1,2
17,S1,00:00-08:00,RS,1,1,2
17,S1,00:00-08:00,DAS,2,3,4
17,S1,00:00-08:00,BLO,1,1,2
17,S1,00:00-08:00,FSTC,1,1,2
17,S1,00:00-08:00,DS,1,1,2
17,S1,00:00-08:00,SLS,1,1,2
17,S2,08:00-16:00,RS,1,1,2
17,S2,08:00-16:00,DAS,5,8,10
17,S2,08:00-16:00,BLO,1,1,2
17,S2,08:00-16:00,FSTC,1,1,2
17,S2,08:00-16:00,DS,1,1,2
17,S2,08:00-16:00,SLS,1,1,2
17,S3,16:00-24:00,RS,1,1,2
17,S3,16:00-24:00,DAS,5,8,10
17,S3,16:00-24:00,BLO,1,1,2
17,S3,16:00-24:00,FSTC,1,1,2
17,S3,16:00-24:00,DS,1,1,2
17,S3,16:00-24:00,SLS,1,1,2
18,S1,00:00-08:00,RS,1,1,2
18,S1,00:00-08:00,DAS,3,4,5
18,S1,00:00-08:00,BLO,1,1,2
18,S1,00:00-08:00,FSTC,1,1,2
18,S1,00:00-08:00,DS,1,1,2
18,S1,00:00-08:00,SLS,1,1,2
18,S2,08:00-16:00,RS,1,1,2
18,S2,08:00-16:00,DAS,5,8,10
18,S2,08:00-16:00,BLO,1,1,2
18,S2,08:00-16:00,FSTC,1,1,2
18,S2,08:00-16:00,DS,1,1,2
18,S2,08:00-16:00,SLS,1,1,2
18,S3,16:00-24:00,RS,1,1,2
18,S3,16:00-24:00,DAS,6,9,11
18,S3,16:00-24:00,BLO,1,1,2
18,S3,16:00-24:00,FSTC,1,1,2
18,S3,16:00-24:00,DS,1,1,2
18,S3,16:00-24:00,SLS,1,1,2
19,S1,00:00-08:00,RS,1,1,2
19,S1,00:00-08:00,DAS,2,3,4
19,S1,00:00-08:00,BLO,1,1,2
19,S1,00:00-08:00,FSTC,1,1,2
19,S1,00:00-08:00,DS,1,1,2
19,S1,00:00-08:00,SLS,1,1,2
19,S2,08:00-16:00,RS,1,1,2
19,S2,08:00-16:00,DAS,5,8,10
19,S2,08:00-16:00,BLO,1,1,2
19,S2,08:00-16:00,FSTC,1,1,2
19,S2,08:00-16:00,DS,1,1,2
19,S2,08:00-16:00,SLS,1,1,2
19,S3,16:00-24:00,RS,1,1,2
19,S3,16:00-24:00,DAS,4,6,7
19,S3,16:00-24:00,BLO,1,1,2
19,S3,16:00-24:00,FSTC,1,1,2
19,S3,16:00-24:00,DS,1,1,2
19,S3,16:00-24:00,SLS,1,1,2
20,S1,00:00-08:00,RS,1,1,2
20,S1,00:00-08:00,DAS,2,3,4
20,S1,00:00-08:00,BLO,1,1,2
20,S1,00:00-08:00,FSTC,1,1,2
20,S1,00:00-08:00,DS,1,1,2
20,S1,00:00-08:00,SLS,1,1,2
20,S2,08:00-16:00,RS,1,1,2
20,S2,08:00-16:00,DAS,4,6,7
20,S2,08:00-16:00,BLO,1,1,2
20,S2,08:00-16:00,FSTC,1,1,2
20,S2,08:00-16:00,DS,1,1,2
20,S2,08:00-16:00,SLS,1,1,2
20,S3,16:00-24:00,RS,1,1,2
20,S3,16:00-24:00,DAS,5,8,10
20,S3,16:00-24:00,BLO,1,1,2
20,S3,16:00-24:00,FSTC,1,1,2
20,S3,16:00-24:00,DS,1,1,2
20,S3,16:00-24:00,SLS,1,1,2
21,S1,00:00-08:00,RS,1,1,2
21,S1,00:00-08:00,DAS,2,3,4
21,S1,00:00-08:00,BLO,1,1,2
21,S1,00:00-08:00,FSTC,1,1,2
21,S1,00:00-08:00,DS,1,1,2
21,S1,00:00-08:00,SLS,1,1,2
21,S2,08:00-16:00,RS,1,1,2
21,S2,08:00-16:00,DAS,4,6,7
21,S2,08:00-16:00,BLO,1,1,2
21,S2,08:00-16:00,FSTC,1,1,2
21,S2,08:00-16:00,DS,1,1,2
21,S2,08:00-16:00,SLS,1,1,2
21,S3,16:00-24:00,RS,1,1,2
21,S3,16:00-24:00,DAS,4,6,7
21,S3,16:00-24:00,BLO,1,1,2
21,S3,16:00-24:00,FSTC,1,1,2
21,S3,16:00-24:00,DS,1,1,2
21,S3,16:00-24:00,SLS,1,1,2
22,S1,00:00-08:00,RS,1,1,2
22,S1,00:00-08:00,DAS,2,3,4
22,S1,00:00-08:00,BLO,1,1,2
22,S1,00:00-08:00,FSTC,1,1,2
22,S1,00:00-08:00,DS,1,1,2
22,S1,00:00-08:00,SLS,1,1,2
22,S2,08:00-16:00,RS,1,1,2
22,S2,08:00-16:00,DAS,5,8,10
22,S2,08:00-16:00,BLO,1,1,2
22,S2,08:00-16:00,FSTC,1,1,2
22,S2,08:00-16:00,DS,1,1,2
22,S2,08:00-16:00,SLS,1,1,2
22,S3,16:00-24:00,RS,1,1,2
22,S3,16:00-24:00,DAS,5,8,10
22,S3,16:00-24:00,BLO,1,1,2
22,S3,16:00-24:00,FSTC,1,1,2
22,S3,16:00-24:00,DS,1,1,2
22,S3,16:00-24:00,SLS,1,1,2
23,S1,00:00-08:00,RS,1,1,2
23,S1,00:00-08:00,DAS,2,3,4
23,S1,00:00-08:00,BLO,1,1,2
23,S1,00:00-08:00,FSTC,1,1,2
23,S1,00:00-08:00,DS,1,1,2
23,S1,00:00-08:00,SLS,1,1,2
23,S2,08:00-16:00,RS,1,1,2
23,S2,08:00-16:00,DAS,5,8,10
23,S2,08:00-16:00,BLO,1,1,2
23,S2,08:00-16:00,FSTC,1,1,2
23,S2,08:00-16:00,DS,1,1,2
23,S2,08:00-16:00,SLS,1,1,2
23,S3,16:00-24:00,RS,1,1,2
23,S3,16:00-24:00,DAS,5,8,10
23,S3,16:00-24:00,BLO,1,1,2
23,S3,16:00-24:00,FSTC,1,1,2
23,S3,16:00-24:00,DS,1,1,2
23,S3,16:00-24:00,SLS,1,1,2
24,S1,00:00-08:00,RS,1,1,2
24,S1,00:00-08:00,DAS,3,4,5
24,S1,00:00-08:00,BLO,1,1,2
24,S1,00:00-08:00,FSTC,1,1,2
24,S1,00:00-08:00,DS,1,1,2
24,S1,00:00-08:00,SLS,1,1,2
24,S2,08:00-16:00,RS,1,1,2
24,S2,08:00-16:00,DAS,5,8,10
24,S2,08:00-16:00,BLO,1,1,2
24,S2,08:00-16:00,FSTC,1,1,2
24,S2,08:00-16:00,DS,1,1,2
24,S2,08:00-16:00,SLS,1,1,2
24,S3,16:00-24:00,RS,1,1,2
24,S3,16:00-24:00,DAS,5,8,10
24,S3,16:00-24:00,BLO,1,1,2
24,S3,16:00-24:00,FSTC,1,1,2
24,S3,16:00-24:00,DS,1,1,2
24,S3,16:00-24:00,SLS,1,1,2
25,S1,00:00-08:00,RS,1,1,2
25,S1,00:00-08:00,DAS,3,4,5
25,S1,00:00-08:00,BLO,1,1,2
25,S1,00:00-08:00,FSTC,1,1,2
25,S1,00:00-08:00,DS,1,1,2
25,S1,00:00-08:00,SLS,1,1,2
25,S2,08:00-16:00,RS,1,1,2
25,S2,08:00-16:00,DAS,5,8,10
25,S2,08:00-16:00,BLO,1,1,2
25,S2,08:00-16:00,FSTC,1,1,2
25,S2,08:00-16:00,DS,1,1,2
25,S2,08:00-16:00,SLS,1,1,2
25,S3,16:00-24:00,RS,1,1,2
25,S3,16:00-24:00,DAS,5,8,10
25,S3,16:00-24:00,BLO,1,1,2
25,S3,16:00-24:00,FSTC,1,1,2
25,S3,16:00-24:00,DS,1,1,2
25,S3,16:00-24:00,SLS,1,1,2
26,S1,00:00-08:00,RS,1,1,2
26,S1,00:00-08:00,DAS,2,3,4
26,S1,00:00-08:00,BLO,1,1,2
26,S1,00:00-08:00,FSTC,1,1,2
26,S1,00:00-08:00,DS,1,1,2
26,S1,00:00-08:00,SLS,1,1,2
26,S2,08:00-16:00,RS,1,1,2
26,S2,08:00-16:00,DAS,5,8,10
26,S2,08:00-16:00,BLO,1,1,2
26,S2,08:00-16:00,FSTC,1,1,2
26,S2,08:00-16:00,DS,1,1,2
26,S2,08:00-16:00,SLS,1,1,2
26,S3,16:00-24:00,RS,1,1,2
26,S3,16:00-24:00,DAS,4,6,7
26,S3,16:00-24:00,BLO,1,1,2
26,S3,16:00-24:00,FSTC,1,1,2
26,S3,16:00-24:00,DS,1,1,2
26,S3,16:00-24:00,SLS,1,1,2
27,S1,00:00-08:00,RS,1,1,2
27,S1,00:00-08:00,DAS,2,3,4
27,S1,00:00-08:00,BLO,1,1,2
27,S1,00:00-08:00,FSTC,1,1,2
27,S1,00:00-08:00,DS,1,1,2
27,S1,00:00-08:00,SLS,1,1,2
27,S2,08:00-16:00,RS,1,1,2
27,S2,08:00-16:00,DAS,5,8,10
27,S2,08:00-16:00,BLO,1,1,2
27,S2,08:00-16:00,FSTC,1,1,2
27,S2,08:00-16:00,DS,1,1,2
27,S2,08:00-16:00,SLS,1,1,2
27,S3,16:00-24:00,RS,1,1,2
27,S3,16:00-24:00,DAS,4,6,7
27,S3,16:00-24:00,BLO,1,1,2
27,S3,16:00-24:00,FSTC,1,1,2
27,S3,16:00-24:00,DS,1,1,2
27,S3,16:00-24:00,SLS,1,1,2
28,S1,00:00-08:00,RS,1,1,2
28,S1,00:00-08:00,DAS,2,3,4
28,S1,00:00-08:00,BLO,1,1,2
28,S1,00:00-08:00,FSTC,1,1,2
28,S1,00:00-08:00,DS,1,1,2
28,S1,00:00-08:00,SLS,1,1,2
28,S2,08:00-16:00,RS,1,1,2
28,S2,08:00-16:00,DAS,5,8,10
28,S2,08:00-16:00,BLO,1,1,2
28,S2,08:00-16:00,FSTC,1,1,2
28,S2,08:00-16:00,DS,1,1,2
28,S2,08:00-16:00,SLS,1,1,2
28,S3,16:00-24:00,RS,1,1,2
28,S3,16:00-24:00,DAS,5,8,10
28,S3,16:00-24:00,BLO,1,1,2
28,S3,16:00-24:00,FSTC,1,1,2
28,S3,16:00-24:00,DS,1,1,2
28,S3,16:00-24:00,SLS,1,1,2
