iteration,temperature,current_score,best_score,accepted,rejected,current_hard_violations,current_skill_violations,current_availability_violations,current_fixed_assignment_violations,current_rest_violations,current_contract_violations,current_consecutive_work_violations,current_consecutive_night_violations,current_shortage_to_Cmin,current_shortage_to_Copt,current_overstaff_above_Copt,current_overstaff_above_Cmax,current_coverage_under_Cmin_cells,current_coverage_under_Copt_cells,current_coverage_over_Cmax_cells,current_preference_penalty,current_standard_profile_penalty,current_incompatibility_penalty,current_fairness_penalty,current_actual_assignments,best_hard_violations,best_skill_violations,best_availability_violations,best_fixed_assignment_violations,best_rest_violations,best_contract_violations,best_consecutive_work_violations,best_consecutive_night_violations,best_shortage_to_Cmin,best_shortage_to_Copt,best_overstaff_above_Copt,best_overstaff_above_Cmax,best_coverage_under_Cmin_cells,best_coverage_under_Copt_cells,best_coverage_over_Cmax_cells,best_preference_penalty,best_standard_profile_penalty,best_incompatibility_penalty,best_fairness_penalty,best_actual_assignments,stop_reason
3000,407.25312499999995,41806.0,2186.0,509,2491,66.0,0.0,0.0,0.0,40.0,0.0,25.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,290.0,1636.0,1400.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
3200,407.25312499999995,40233.0,2186.0,536,2664,64.0,0.0,0.0,0.0,38.0,0.0,25.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,306.0,1645.0,1400.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
3400,407.25312499999995,39859.0,2186.0,571,2829,58.0,0.0,0.0,0.0,39.0,0.0,18.0,1.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,334.0,1639.0,1000.0,86.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
3600,386.8904687499999,37377.0,2186.0,598,3002,55.0,0.0,0.0,0.0,35.0,0.0,19.0,1.0,0.0,3.0,16.0,0.0,0.0,3.0,0.0,342.0,1648.0,1200.0,87.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
3800,386.8904687499999,40217.0,2186.0,631,3169,60.0,0.0,0.0,0.0,38.0,0.0,21.0,1.0,0.0,3.0,16.0,0.0,0.0,3.0,0.0,357.0,1675.0,1200.0,85.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
4000,386.8904687499999,40911.0,2186.0,650,3350,62.0,0.0,0.0,0.0,39.0,0.0,22.0,1.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,349.0,1678.0,1200.0,84.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
4200,386.8904687499999,40950.0,2186.0,687,3513,65.0,0.0,0.0,0.0,39.0,0.0,25.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,363.0,1705.0,1200.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
4400,367.5459453124999,40158.0,2186.0,708,3692,64.0,0.0,0.0,0.0,38.0,0.0,25.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,379.0,1699.0,1200.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
4600,367.5459453124999,41412.0,2186.0,742,3858,62.0,0.0,0.0,0.0,41.0,0.0,20.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,407.0,1723.0,1000.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
4800,367.5459453124999,39210.0,2186.0,764,4036,59.0,0.0,0.0,0.0,38.0,0.0,19.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,397.0,1729.0,800.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
5000,349.16864804687486,39715.0,2186.0,799,4201,59.0,0.0,0.0,0.0,39.0,0.0,19.0,1.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,379.0,1753.0,800.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
5200,349.16864804687486,40834.0,2186.0,826,4374,63.0,0.0,0.0,0.0,39.0,0.0,23.0,1.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,378.0,1774.0,800.0,82.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
5400,349.16864804687486,39865.0,2186.0,847,4553,61.0,0.0,0.0,0.0,39.0,0.0,21.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,388.0,1795.0,800.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
5600,349.16864804687486,41076.0,2186.0,875,4725,64.0,0.0,0.0,0.0,40.0,0.0,23.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,412.0,1780.0,800.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
5800,331.7102156445311,42093.0,2186.0,915,4885,64.0,0.0,0.0,0.0,41.0,0.0,21.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,424.0,1789.0,800.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
6000,331.7102156445311,42132.0,2186.0,957,5043,61.0,0.0,0.0,0.0,41.0,0.0,18.0,2.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,438.0,1810.0,800.0,84.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
6200,331.7102156445311,40546.0,2186.0,977,5223,59.0,0.0,0.0,0.0,40.0,0.0,17.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,441.0,1825.0,800.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
6400,315.12470486230455,43234.0,2186.0,1006,5394,65.0,0.0,0.0,0.0,42.0,0.0,21.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,431.0,1822.0,800.0,81.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
6600,315.12470486230455,43746.0,2186.0,1032,5568,66.0,0.0,0.0,0.0,43.0,0.0,21.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,432.0,1834.0,800.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
6800,315.12470486230455,40344.0,2186.0,1072,5728,55.0,0.0,0.0,0.0,39.0,0.0,14.0,2.0,0.0,4.0,16.0,0.0,0.0,4.0,0.0,423.0,1837.0,800.0,84.0,972.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
7000,315.12470486230455,41838.0,2186.0,1096,5904,59.0,0.0,0.0,0.0,41.0,0.0,16.0,2.0,0.0,3.0,16.0,0.0,0.0,3.0,0.0,412.0,1843.0,600.0,83.0,973.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
7200,299.36846961918934,43742.0,2186.0,1125,6075,60.0,0.0,0.0,0.0,43.0,0.0,14.0,3.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,408.0,1852.0,1000.0,82.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
7400,299.36846961918934,42352.0,2186.0,1160,6240,57.0,0.0,0.0,0.0,43.0,0.0,11.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,403.0,1867.0,800.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
7600,299.36846961918934,43373.0,2186.0,1185,6415,59.0,0.0,0.0,0.0,44.0,0.0,12.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,419.0,1870.0,800.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
7800,284.40004613822987,45182.0,2186.0,1211,6589,61.0,0.0,0.0,0.0,46.0,0.0,12.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,419.0,1879.0,1000.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
8000,284.40004613822987,46578.0,2186.0,1231,6769,62.0,0.0,0.0,0.0,48.0,0.0,11.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,409.0,1885.0,1000.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
8200,284.40004613822987,43981.0,2186.0,1254,6946,61.0,0.0,0.0,0.0,44.0,0.0,14.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,409.0,1888.0,1000.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
8400,284.40004613822987,42981.0,2186.0,1289,7111,56.0,0.0,0.0,0.0,44.0,0.0,9.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,425.0,1876.0,1000.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
8600,270.18004383131836,44575.0,2186.0,1314,7286,61.0,0.0,0.0,0.0,45.0,0.0,13.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,415.0,1876.0,1000.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
8800,270.18004383131836,42967.0,2186.0,1344,7456,56.0,0.0,0.0,0.0,44.0,0.0,9.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,406.0,1879.0,1000.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
9000,270.18004383131836,42942.0,2186.0,1370,7630,56.0,0.0,0.0,0.0,45.0,0.0,9.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,403.0,1855.0,800.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
9200,256.67104163975245,43042.0,2186.0,1407,7793,59.0,0.0,0.0,0.0,43.0,0.0,14.0,2.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,404.0,1855.0,1200.0,83.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
9400,256.67104163975245,40567.0,2186.0,1438,7962,57.0,0.0,0.0,0.0,40.0,0.0,15.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,413.0,1870.0,1200.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
9600,256.67104163975245,40190.0,2186.0,1469,8131,57.0,0.0,0.0,0.0,39.0,0.0,16.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,417.0,1891.0,1400.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
9800,256.67104163975245,40191.0,2186.0,1491,8309,60.0,0.0,0.0,0.0,38.0,0.0,20.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,421.0,1888.0,1400.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
10000,243.8374895577648,38800.0,2186.0,1516,8484,59.0,0.0,0.0,0.0,37.0,0.0,20.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,436.0,1882.0,800.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
10200,243.8374895577648,39816.0,2186.0,1535,8665,61.0,0.0,0.0,0.0,38.0,0.0,21.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,446.0,1888.0,800.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
10400,243.8374895577648,36757.0,2186.0,1564,8836,52.0,0.0,0.0,0.0,35.0,0.0,15.0,2.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,414.0,1861.0,800.0,82.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
10600,231.64561507987653,37373.0,2186.0,1588,9012,55.0,0.0,0.0,0.0,35.0,0.0,18.0,2.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,418.0,1873.0,800.0,82.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
10800,231.64561507987653,36201.0,2186.0,1616,9184,55.0,0.0,0.0,0.0,33.0,0.0,20.0,2.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,432.0,1885.0,800.0,84.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
11000,231.64561507987653,37020.0,2186.0,1638,9362,55.0,0.0,0.0,0.0,36.0,0.0,18.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,432.0,1906.0,800.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
11200,231.64561507987653,37627.0,2186.0,1654,9546,56.0,0.0,0.0,0.0,37.0,0.0,18.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,433.0,1912.0,600.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
11400,220.0633343258827,37413.0,2186.0,1673,9727,55.0,0.0,0.0,0.0,37.0,0.0,17.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,421.0,1912.0,600.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
11600,220.0633343258827,37040.0,2186.0,1700,9900,53.0,0.0,0.0,0.0,37.0,0.0,15.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,439.0,1921.0,600.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
11800,220.0633343258827,34838.0,2186.0,1724,10076,54.0,0.0,0.0,0.0,33.0,0.0,20.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,436.0,1918.0,600.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
12000,209.06016760958855,36125.0,2186.0,1750,10250,54.0,0.0,0.0,0.0,34.0,0.0,19.0,1.0,0.0,2.0,18.0,0.0,0.0,2.0,0.0,449.0,1894.0,600.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
12200,209.06016760958855,33618.0,2186.0,1782,10418,48.0,0.0,0.0,0.0,33.0,0.0,14.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,449.0,1885.0,600.0,84.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
12400,209.06016760958855,32829.0,2186.0,1807,10593,44.0,0.0,0.0,0.0,32.0,0.0,11.0,1.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,457.0,1888.0,600.0,84.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
12600,209.06016760958855,32052.0,2186.0,1833,10767,46.0,0.0,0.0,0.0,31.0,0.0,14.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,461.0,1909.0,600.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
12800,198.6071592291091,30465.0,2186.0,1863,10937,45.0,0.0,0.0,0.0,28.0,0.0,15.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,474.0,1909.0,600.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
13000,198.6071592291091,30460.0,2186.0,1879,11121,45.0,0.0,0.0,0.0,28.0,0.0,15.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,469.0,1909.0,600.0,82.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
13200,198.6071592291091,30884.0,2186.0,1904,11296,44.0,0.0,0.0,0.0,29.0,0.0,13.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,483.0,1921.0,600.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
13400,188.67680126765364,29872.0,2186.0,1924,11476,45.0,0.0,0.0,0.0,27.0,0.0,16.0,2.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,471.0,1921.0,600.0,80.0,976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
13600,188.67680126765364,30671.0,2186.0,1948,11652,46.0,0.0,0.0,0.0,27.0,0.0,17.0,2.0,0.0,2.0,16.0,0.0,0.0,2.0,0.0,471.0,1918.0,600.0,82.0,974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,18.0,1282.0,0.0,86.0,976.0,
