day,shift,shift_time,RS_min,RS_opt,RS_max,DAS_min,DAS_opt,DAS_max,BLO_min,BLO_opt,BLO_max,FSTC_min,FSTC_opt,FSTC_max,DS_min,DS_opt,DS_max,SLS_min,SLS_opt,SLS_max,total_min,total_opt,total_max
12,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
12,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
13,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
13,S2,08:00-16:00,2,2,3,6,9,11,2,2,3,2,2,3,2,2,3,2,2,3,16,19,26
13,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
14,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
14,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
14,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
15,S1,00:00-08:00,2,2,3,5,6,8,2,2,3,2,2,3,2,2,3,2,2,3,15,16,23
15,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
15,S3,16:00-24:00,2,2,3,6,9,11,2,2,3,2,2,3,2,2,3,2,2,3,16,19,26
16,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
16,S2,08:00-16:00,2,2,3,6,9,11,2,2,3,2,2,3,2,2,3,2,2,3,16,19,26
16,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
17,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
17,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
17,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
18,S1,00:00-08:00,2,2,3,5,6,8,2,2,3,2,2,3,2,2,3,2,2,3,15,16,23
18,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
18,S3,16:00-24:00,2,2,3,9,14,17,2,2,3,2,2,3,2,2,3,2,2,3,19,24,32
19,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
19,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
19,S3,16:00-24:00,2,2,3,6,9,11,2,2,3,2,2,3,2,2,3,2,2,3,16,19,26
20,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
20,S2,08:00-16:00,2,2,3,6,9,11,2,2,3,2,2,3,2,2,3,2,2,3,16,19,26
20,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
21,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
21,S2,08:00-16:00,2,2,3,6,9,11,2,2,3,2,2,3,2,2,3,2,2,3,16,19,26
21,S3,16:00-24:00,2,2,3,6,9,11,2,2,3,2,2,3,2,2,3,2,2,3,16,19,26
22,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
22,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
22,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
23,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
23,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
23,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
24,S1,00:00-08:00,2,2,3,5,6,8,2,2,3,2,2,3,2,2,3,2,2,3,15,16,23
24,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
24,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
25,S1,00:00-08:00,2,2,3,5,6,8,2,2,3,2,2,3,2,2,3,2,2,3,15,16,23
25,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
25,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
26,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
26,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
26,S3,16:00-24:00,2,2,3,6,9,11,2,2,3,2,2,3,2,2,3,2,2,3,16,19,26
27,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
27,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
27,S3,16:00-24:00,2,2,3,6,9,11,2,2,3,2,2,3,2,2,3,2,2,3,16,19,26
28,S1,00:00-08:00,2,2,3,3,5,6,2,2,3,2,2,3,2,2,3,2,2,3,13,15,21
28,S2,08:00-16:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
28,S3,16:00-24:00,2,2,3,8,12,15,2,2,3,2,2,3,2,2,3,2,2,3,18,22,30
