employee_id,employee_name,min_work_days,max_work_days,target_work_days,min_hours,max_hours,target_hours,min_days_off,max_days_off,max_night_shifts,max_consecutive_work_days,max_consecutive_night_shifts,min_consecutive_days_off,min_days_off_after_work_block,night_block_separation,max_working_weekends,max_working_public_holidays,complete_weekend_required,standard_role,standard_shift
E020,Employee 20,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S1
E021,Employee 21,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
E022,Employee 22,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
E023,Employee 23,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
E024,Employee 24,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E025,Employee 25,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,SLS,S2
E026,Employee 26,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E027,Employee 27,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E028,Employee 28,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
E029,Employee 29,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E030,Employee 30,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,FSTC,S3
E031,Employee 31,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S1
E032,Employee 32,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,RS,S2
E033,Employee 33,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,FSTC,S3
E034,Employee 34,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E035,Employee 35,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,FSTC,S3
E036,Employee 36,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E037,Employee 37,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S1
E038,Employee 38,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
E039,Employee 39,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,FSTC,S2
E040,Employee 40,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E041,Employee 41,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DS,S3
E042,Employee 42,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E043,Employee 43,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,SLS,S3
E044,Employee 44,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,BLO,S1
E045,Employee 45,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E046,Employee 46,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
E047,Employee 47,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S1
E048,Employee 48,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,FSTC,S3
MEDIUM_E049,Medium Employee 049,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,SLS,S2
MEDIUM_E050,Medium Employee 050,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
MEDIUM_E051,Medium Employee 051,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
MEDIUM_E052,Medium Employee 052,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
MEDIUM_E053,Medium Employee 053,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,BLO,S2
MEDIUM_E054,Medium Employee 054,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,RS,S1
MEDIUM_E055,Medium Employee 055,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
MEDIUM_E056,Medium Employee 056,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,BLO,S2
MEDIUM_E057,Medium Employee 057,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
MEDIUM_E058,Medium Employee 058,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DS,S3
MEDIUM_E059,Medium Employee 059,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
MEDIUM_E060,Medium Employee 060,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
MEDIUM_E061,Medium Employee 061,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DS,S3
MEDIUM_E062,Medium Employee 062,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S2
MEDIUM_E063,Medium Employee 063,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
MEDIUM_E064,Medium Employee 064,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DS,S2
MEDIUM_E065,Medium Employee 065,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,SLS,S1
MEDIUM_E066,Medium Employee 066,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S1
MEDIUM_E067,Medium Employee 067,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S1
MEDIUM_E068,Medium Employee 068,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S1
MEDIUM_E069,Medium Employee 069,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
MEDIUM_E070,Medium Employee 070,20,24,22,160,192,176,4,8,9,6,3,1,1,1,4,2,0,DAS,S3
